"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.692537198E0,1.774024963E0,4.684487343E0,-1.539999992E-2
1.712537198E0,1.800974965E0,5.229400158E0,-7.535000145E-2
1.732537198E0,1.858312488E0,5.624024868E0,-9.349999949E-3
1.752537198E0,2.257887602E0,6.121224880E0,-2.169750035E-1
1.772537198E0,2.592562437E0,6.308225155E0,-6.470749974E-1
1.792537198E0,2.499749899E0,6.469512463E0,-7.473124862E-1
1.812537198E0,2.235887527E0,6.441325188E0,-4.014999866E-1
1.832537198E0,1.939025044E0,6.297224998E0,-2.256374955E-1
1.852537198E0,1.753262520E0,6.247174740E0,-5.582499877E-2
1.872537198E0,1.421062469E0,6.000362396E0,3.437500000E-1
1.892537198E0,1.099725008E0,5.746262550E0,6.833750010E-1
1.912537198E0,1.126537442E0,5.776787281E0,1.029049993E0
1.932537198E0,1.544399977E0,5.668025017E0,1.476199985E0
1.952537198E0,1.836312532E0,5.361400127E0,1.757249951E0
1.972537198E0,1.363587499E0,5.411449909E0,1.801249981E0
1.992537198E0,9.946749806E-1,5.463974953E0,1.675437450E0
2.012537198E0,7.001500130E-1,5.412687302E0,1.456674933E0
2.032537198E0,8.126249909E-1,5.246587276E0,1.716962457E0
2.052537198E0,1.471112490E0,4.701674938E0,2.211687565E0
2.072537198E0,2.518037558E0,3.956424952E0,2.267925024E0
2.092537198E0,2.929850101E0,3.676612377E0,1.795062542E0
2.112537198E0,2.753849983E0,3.846425056E0,1.307624936E0
2.132537198E0,2.320174932E0,4.256999969E0,9.240000248E-1
2.152537198E0,2.070887566E0,4.386387348E0,7.358999848E-1
2.172537198E0,2.339699984E0,4.103000164E0,8.018999696E-1
2.192537198E0,3.180237532E0,3.486037493E0,9.374749660E-1
2.212537198E0,3.780149937E0,2.985125065E0,1.069474936E0
2.232537198E0,3.864437580E0,2.570975065E0,1.316149950E0
2.252537198E0,3.134999990E0,1.765912533E0,7.249000072E-1
2.272537198E0,1.793687463E0,1.420099974E0,1.982749999E-1
2.292537198E0,-9.624999762E-1,-3.585999906E-1,-1.193500012E-1
2.312537198E0,-2.252662420E0,-1.270087481E0,-3.074499965E-1
2.332537198E0,-2.396899939E0,-2.069099903E0,-3.929750025E-1
2.352537198E0,-2.176899910E0,-2.573587418E0,-2.769249976E-1
2.372537198E0,-1.462175012E0,-2.871687412E0,4.812499881E-2
2.392537198E0,-7.976375222E-1,-2.957212448E0,1.641750038E-1
2.412537198E0,-8.256874681E-1,-3.059925079E0,-2.406249940E-2
2.432537198E0,-1.222787499E0,-3.032974958E0,-2.744500041E-1
2.452537198E0,-1.572175026E0,-3.020737410E0,-4.369750023E-1
2.472537198E0,-1.787225008E0,-2.977974892E0,-4.210250080E-1
2.492537198E0,-2.058374882E0,-3.153975010E0,-5.042124987E-1
2.512537198E0,-2.035274982E0,-3.360362530E0,-8.975999951E-1
2.532537198E0,-2.046274900E0,-3.178312540E0,-9.891750216E-1
2.552537198E0,-1.985087514E0,-2.858350039E0,-7.130749822E-1
2.572537198E0,-1.686987519E0,-2.938925028E0,-6.115999818E-1
2.592537198E0,-1.476887465E0,-3.090450048E0,-7.558375001E-1
2.612537198E0,-1.798225045E0,-3.386075020E0,-9.866999984E-1
2.632537198E0,-1.917987466E0,-3.191787481E0,-8.596500158E-1
2.652537198E0,-1.471937537E0,-3.201550007E0,-9.183624983E-1
2.672537198E0,-1.039499998E0,-3.272500038E0,-9.586499929E-1
2.692537198E0,-1.282600045E0,-3.281024933E0,-9.293624759E-1
2.712537198E0,-1.606412530E0,-3.624362469E0,-1.331274986E0
2.732537198E0,-1.387650013E0,-3.509412527E0,-1.217562437E0
2.752537198E0,-8.403999805E-1,-3.382362366E0,-8.694124818E-1
2.772537198E0,-7.523999810E-1,-3.394599915E0,-6.507874727E-1
2.792537198E0,-1.279024959E0,-3.464312553E0,-7.508875132E-1
2.812537198E0,-1.668699980E0,-3.654887438E0,-7.594124675E-1
2.832537198E0,-1.812799931E0,-4.016512394E0,-6.311249733E-1
2.852537198E0,-2.119562387E0,-4.136137486E0,-4.320249856E-1
2.872537198E0,-2.175662518E0,-4.080037594E0,-4.124999940E-1
2.892537198E0,-1.729750037E0,-4.137374878E0,-3.099249899E-1
2.912537198E0,-1.304600000E0,-4.309662342E0,-3.049750030E-1
2.932537198E0,-1.385312438E0,-4.408662319E0,-2.134000063E-1
2.952537198E0,-1.840987444E0,-4.193612576E0,-2.744500041E-1
2.972537198E0,-2.256375074E0,-4.055562496E0,-3.502124846E-1
2.992537198E0,-2.412712574E0,-3.665887594E0,-6.776000261E-1
3.012537198E0,-1.545362473E0,-2.565062523E0,-3.526875079E-1
3.032537198E0,-7.671124935E-1,-2.667637587E0,-3.892624974E-1
3.052537198E0,-2.184875011E-1,-2.320724964E0,-1.742125005E-1
3.072537198E0,3.287625015E-1,-2.183912516E0,2.301750034E-1
3.092537198E0,4.399999976E-1,-2.373250008E0,3.107500076E-1
3.112537198E0,5.018749833E-2,-2.403774977E0,2.619374990E-1
3.132537198E0,-4.470124841E-1,-2.445300102E0,2.215124965E-1
3.152537198E0,-6.216375232E-1,-2.518587589E0,1.812250018E-1
3.172537198E0,-6.326375008E-1,-2.617587566E0,1.434125006E-1
3.192537198E0,-5.483499765E-1,-2.733637571E0,7.617499679E-2
3.212537198E0,-5.105375051E-1,-2.819162369E0,-3.258749843E-2
3.232537198E0,-5.460125208E-1,-2.869212389E0,-7.411249727E-2
3.252537198E0,-6.925874949E-1,-2.904687405E0,-1.424500048E-1
3.272537198E0,-8.916875124E-1,-2.745874882E0,-1.913999915E-1
3.292537198E0,-1.015162468E0,-2.561349869E0,-1.889249980E-1
3.312537198E0,-9.833999872E-1,-2.458775043E0,-1.168750003E-1
3.332537198E0,-7.964000106E-1,-2.291437387E0,-1.911249943E-2
3.352537198E0,-3.859624863E-1,-1.915099978E0,1.384624988E-1
3.372537198E0,-1.691249944E-2,-1.902862549E0,3.852750063E-1
3.392537198E0,3.299999833E-1,-2.023862600E0,5.135625005E-1
3.412537198E0,4.289999902E-1,-2.268199921E0,4.867500067E-1
3.432537198E0,2.004749924E-1,-2.367199898E0,2.985124886E-1
3.452537198E0,-6.131125093E-1,-2.142387390E0,6.599999964E-3
3.472537198E0,-1.226500034E0,-2.010387421E0,-2.561624944E-1
3.492537198E0,-7.181624770E-1,-1.984812498E0,-1.986874938E-1
3.512537198E0,4.912874997E-1,-1.309137464E0,-2.304500043E-1
3.532537198E0,1.290300012E0,4.134624898E-1,-3.282124996E-1
3.552537198E0,9.519125223E-1,9.424250126E-1,-2.597374916E-1
3.572537198E0,-1.306249946E-1,5.222250223E-1,-5.335000157E-2
3.592537198E0,-1.018737435E0,3.999874890E-1,-9.487500042E-2
3.612537198E0,-1.380362511E0,5.137000084E-1,-1.718750000E-1
3.632537198E0,-1.296074986E0,8.141375184E-1,-3.562625051E-1
3.652537198E0,-9.063999653E-1,1.167237520E0,-6.861249804E-1
3.672537198E0,-1.586750001E-1,9.546625018E-1,-7.044125199E-1
3.692537198E0,1.479499936E-1,5.795624852E-1,-1.911249943E-2
3.712537198E0,2.407625020E-1,1.001137495E0,6.516125202E-1
3.732537198E0,2.077624947E-1,1.786674976E0,8.679000139E-1
3.752537198E0,1.871374995E-1,2.269162416E0,9.594749808E-1
3.772537198E0,3.409999907E-1,2.474449873E0,9.887624979E-1
3.792537198E0,6.353874803E-1,2.215537548E0,8.691374660E-1
3.812537198E0,9.629124999E-1,1.881962538E0,4.903250039E-1
3.832537198E0,1.082537532E0,1.778149962E0,-4.111250117E-2
3.852537198E0,9.127249718E-1,1.910012484E0,-2.866874933E-1
3.872537198E0,3.104749918E-1,2.354687452E0,-4.124999940E-1
3.892537198E0,-4.237749875E-1,3.150125027E0,-5.823125243E-1
3.912537198E0,-8.574500084E-1,4.116475105E0,-5.187875032E-1
3.932537198E0,-7.939249873E-1,4.854437351E0,-1.534499973E-1
3.952537198E0,-3.064875007E-1,5.043775082E0,2.215124965E-1
3.972537198E0,3.849999905E-1,4.859250069E0,3.877499998E-1
3.992537198E0,1.179062486E0,4.911775112E0,6.369000077E-1
4.012537198E0,1.776499987E0,4.966774940E0,7.078499794E-1
4.032537198E0,2.251699924E0,5.038825035E0,5.978500247E-1
4.052537198E0,2.459462404E0,5.045012474E0,4.745124876E-1
4.072537198E0,2.423987389E0,4.954537392E0,4.010874927E-1
4.092537198E0,2.338462591E0,5.118299961E0,6.650875211E-1
4.112537198E0,2.321412563E0,5.213587284E0,1.065762520E0
4.132537198E0,2.278650045E0,5.091350079E0,1.358912468E0
4.152537198E0,2.261600018E0,4.738249779E0,1.407862544E0
4.172537198E0,2.315224886E0,4.374287605E0,1.330862522E0
4.192537198E0,1.939025044E0,4.474387646E0,1.115812540E0
4.212537198E0,1.356299996E0,4.910537243E0,1.103574991E0
4.232537198E0,1.028774977E0,5.319874763E0,1.346812487E0
4.252537198E0,9.847750068E-1,5.693737507E0,1.696200013E0
4.272537198E0,1.406350017E0,5.697312355E0,2.078587532E0
4.292537198E0,2.244412422E0,5.269687653E0,2.401162386E0
4.312537198E0,2.977425098E0,4.886199951E0,2.427974939E0
4.332537198E0,3.127712488E0,4.990012646E0,2.346162558E0
4.352537198E0,3.122762442E0,5.319874763E0,2.388925076E0
4.372537198E0,3.286525011E0,5.558024883E0,2.599025011E0
4.392537198E0,3.604150057E0,5.197637558E0,2.646737576E0
4.412537198E0,3.890012503E0,4.353525162E0,2.120112419E0
4.432537198E0,3.649387598E0,4.061474800E0,1.598437548E0
4.452537198E0,2.983612537E0,4.000424862E0,1.295524955E0
4.472537198E0,2.266412497E0,3.966187477E0,9.582374692E-1
4.492537198E0,1.745975018E0,3.977187395E0,6.968500018E-1
4.512537198E0,1.809499979E0,3.534987450E0,3.755125105E-1
4.532537198E0,2.180887461E0,3.020600080E0,4.415124953E-1
