"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.633437818E0,1.369695091E1,-3.678000212E0,1.648800087E1
1.653437818E0,1.475295067E1,-4.030050278E0,1.608405113E1
1.673437818E0,1.530300045E1,-4.186050415E0,1.537305069E1
1.693437818E0,1.594005108E1,-3.988950253E0,1.500600052E1
1.713437818E0,1.692900085E1,-3.931950092E0,1.504500103E1
1.733437818E0,1.714005089E1,-3.643950224E0,1.527000046E1
1.753437818E0,1.834605026E1,-3.367050171E0,1.589505100E1
1.773437818E0,1.834395027E1,-4.328999996E0,1.530795097E1
1.793437818E0,1.540605068E1,-5.208000183E0,1.325595093E1
1.813437818E0,1.242105103E1,-4.966050148E0,1.243500042E1
1.833437818E0,1.123995018E1,-5.518950462E0,1.200600052E1
1.853437818E0,9.592950821E0,-5.818950176E0,1.186305046E1
1.873437818E0,7.150950432E0,-5.947950363E0,1.116600037E1
1.893437818E0,5.443950176E0,-5.653050423E0,1.101300049E1
1.913437818E0,4.278000355E0,-5.823000431E0,1.159695053E1
1.933437818E0,2.877000093E0,-5.761050224E0,1.242105103E1
1.953437818E0,2.479050159E0,-5.185950279E0,1.186800098E1
1.973437818E0,2.748000145E0,-4.552050114E0,9.793950081E0
1.993437818E0,2.496000051E0,-3.424050093E0,8.973000526E0
2.013437818E0,2.282999992E0,-2.545950174E0,8.653950691E0
2.033437818E0,6.289500594E-1,-1.927950144E0,8.072999954E0
2.053437818E0,-8.719500303E-1,-1.114050031E0,8.470050812E0
2.073437818E0,1.260000020E-1,-3.190500140E-1,8.560950279E0
2.093437818E0,2.332950115E0,8.749500513E-1,7.249050140E0
2.113437818E0,3.727050066E0,2.029050112E0,4.942950249E0
2.133437818E0,3.645000219E0,3.109050035E0,2.793000221E0
2.153437818E0,2.791050196E0,3.571050167E0,1.303950071E0
2.173437818E0,2.791050196E0,3.571050167E0,1.303950071E0
2.193437818E0,8.470500112E-1,2.302050114E0,-3.048000097E0
2.213437818E0,1.158000112E0,1.882950068E0,-7.848000526E0
2.233437818E0,2.077050209E0,2.355000019E0,-1.444500065E1
2.253437818E0,4.480950356E0,3.190050125E0,-2.088105011E1
2.273437818E0,4.407000065E0,2.386050224E0,-2.676105118E1
2.293437818E0,1.198950052E0,3.348000050E0,-2.879595184E1
2.313437818E0,1.123950005E0,1.780050039E0,-2.362395096E1
2.333437818E0,4.399500191E-1,1.624050021E0,-1.553895092E1
2.353437818E0,-5.389500260E-1,1.696050048E0,-1.022400093E1
2.373437818E0,-1.321950078E0,2.407050133E0,-6.132000446E0
