"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.683753445E0,-3.645125031E-1,-1.128324986E0,6.723749638E-2
1.703753445E0,-2.459875047E-1,-1.009799957E0,4.523750022E-2
1.723753445E0,-2.289374918E-1,-9.267500043E-1,1.113750041E-2
1.743753445E0,-3.290374875E-1,-8.436999917E-1,-1.209999993E-2
1.763753445E0,-4.487999976E-1,-6.213625073E-1,-2.557500079E-2
1.783753445E0,-4.305124879E-1,-4.870249927E-1,2.089999989E-2
1.803753445E0,-3.852750063E-1,-3.623124957E-1,2.942499891E-2
1.823753445E0,-3.022249937E-1,-3.244999945E-1,2.571249940E-2
1.843753445E0,-2.167000026E-1,-3.073124886E-1,-1.209999993E-2
1.863753445E0,-1.775124967E-1,-2.524499893E-1,9.899999946E-3
1.883753445E0,-1.434125006E-1,-1.351625025E-1,2.447500080E-2
1.903753445E0,-1.054624990E-1,-1.924999990E-3,1.718750037E-2
1.923753445E0,-4.812499881E-2,2.179374993E-1,4.949999973E-3
1.943753445E0,1.182499994E-2,4.415124953E-1,8.662499487E-3
1.963753445E0,6.682500243E-2,5.868499875E-1,-1.704999991E-2
1.983753445E0,9.239999950E-2,7.775624990E-1,-9.638749808E-2
2.003753445E0,1.009249985E-1,1.027950048E0,-1.196250021E-1
2.023753445E0,1.436875015E-1,1.256474972E0,-1.220999956E-1
2.043753445E0,1.729750037E-1,1.344337463E0,-2.051499933E-1
2.063753445E0,1.571625024E-1,1.409099936E0,-2.954874933E-1
2.083753445E0,1.632124931E-1,1.613150001E0,-3.139125109E-1
2.103753445E0,1.816374958E-1,1.714487433E0,-3.236750066E-1
2.123753445E0,2.157374918E-1,1.866012454E0,-2.991999984E-1
2.143753445E0,3.562625051E-1,2.075012445E0,-1.941500008E-1
2.163753445E0,4.907374978E-1,2.083537579E0,-2.099625021E-1
2.183753445E0,6.201249957E-1,2.166587591E0,-2.637250125E-1
2.203753445E0,7.203624845E-1,2.282637596E0,-1.513874978E-1
2.223753445E0,7.533624768E-1,2.618550062E0,-2.063875049E-1
2.243753445E0,6.067875028E-1,2.700500011E0,-1.061500013E-1
2.263753445E0,7.008374929E-1,3.064599991E0,3.437500075E-2
2.283753445E0,1.062462449E0,3.405324936E0,1.699499935E-1
2.303753445E0,1.294562459E0,3.114650011E0,1.112374961E-1
2.323753445E0,1.101512551E0,2.803075075E0,5.747500062E-2
2.343753445E0,8.156499863E-1,2.832362413E0,1.088999957E-1
2.363753445E0,9.426999688E-1,3.343037367E0,5.779125094E-1
2.383753445E0,1.295799971E0,3.365037441E0,8.626750112E-1
2.403753445E0,1.457087517E0,2.815312386E0,6.183375120E-1
2.423753445E0,1.336087465E0,2.537975073E0,5.181000233E-1
2.443753445E0,1.172462463E0,2.501262426E0,5.108125210E-1
2.463753445E0,1.144274950E0,2.376687527E0,5.168625116E-1
2.483753445E0,1.162562490E0,2.172637463E0,3.225750029E-1
2.503753445E0,1.276275039E0,2.203162432E0,4.093374908E-1
2.523753445E0,1.273800015E0,1.901487470E0,3.275249898E-1
2.543753445E0,9.121749997E-1,1.649862528E0,5.252499878E-2
2.563753445E0,5.090249777E-1,1.888012528E0,-6.586249918E-2
2.583753445E0,3.770250082E-1,2.061537504E0,-3.052499890E-2
2.603753445E0,4.052124918E-1,2.166587591E0,2.323750034E-2
2.623753445E0,4.992625117E-1,1.610674977E0,-1.183874980E-1
2.643753445E0,4.687374830E-1,1.478812456E0,-1.453374922E-1
2.663753445E0,4.833124876E-1,1.710912466E0,-1.828750037E-2
2.683753445E0,6.568375230E-1,1.817199945E0,2.272875011E-1
2.703753445E0,8.388875127E-1,1.501912475E0,2.004749924E-1
2.723753445E0,6.703125238E-1,1.024237514E0,-4.276249930E-2
2.743753445E0,4.076874852E-1,1.192950010E0,-2.406249940E-1
2.763753445E0,2.341624945E-1,1.554574966E0,-1.025749967E-1
2.783753445E0,3.099249899E-1,1.539862514E0,-2.337499987E-3
2.803753445E0,5.273125172E-1,1.220999956E0,2.571249940E-2
2.823753445E0,6.360750198E-1,9.143750072E-1,-1.237499993E-3
2.843753445E0,5.444999933E-1,1.243000031E0,-7.287499961E-3
2.863753445E0,6.385499835E-1,1.497099996E0,1.979999989E-1
2.883753445E0,9.158874750E-1,1.385862470E0,2.432374954E-1
2.903753445E0,9.964625239E-1,9.668999910E-1,1.795749962E-1
2.923753445E0,8.743624687E-1,9.277125001E-1,1.087625027E-1
2.943753445E0,5.542625189E-1,1.120762467E0,1.515250057E-1
2.963753445E0,5.260750055E-1,1.302812457E0,1.209999993E-1
2.983753445E0,7.155500054E-1,1.396862507E0,1.735250056E-1
3.003753445E0,8.718875051E-1,1.250287533E0,1.295250058E-1
3.023753445E0,7.693125010E-1,1.057237506E0,6.242499873E-2
3.043753445E0,4.955500066E-1,8.788999915E-1,-1.538625062E-1
3.063753445E0,2.389750034E-1,8.238999844E-1,-2.186249942E-1
3.083753445E0,7.658749819E-2,8.129000068E-1,-1.783374995E-1
3.103753445E0,1.754499972E-1,7.750874758E-1,-1.123374999E-1
3.123753445E0,2.879250050E-1,5.868499875E-1,-1.086250022E-1
3.143753445E0,3.379749954E-1,4.684624970E-1,-9.033749998E-2
3.163753445E0,3.319250047E-1,4.085125029E-1,-7.562500238E-2
3.183753445E0,2.316875011E-1,3.669874966E-1,-6.586249918E-2
3.203753445E0,8.992499858E-2,3.217499852E-1,-4.509999976E-2
3.223753445E0,-7.699999958E-3,2.179374993E-1,2.474999987E-3
3.243753445E0,-3.217500076E-2,5.541250110E-2,1.124750003E-1
3.263753445E0,1.254000068E-1,-1.314499974E-1,2.822875082E-1
3.283753445E0,2.499749959E-1,-3.415499926E-1,3.202374876E-1
3.303753445E0,2.219250053E-1,-5.200250149E-1,2.382874936E-1
3.323753445E0,4.592499882E-2,-6.298875213E-1,9.295000136E-2
3.343753445E0,-2.532750070E-1,-8.399875164E-1,-1.086250022E-1
3.363753445E0,-7.688999772E-1,-1.143037438E0,-3.359124959E-1
3.383753445E0,-9.557625055E-1,-1.327562451E0,-3.542000055E-1
3.403753445E0,-8.384749889E-1,-1.409374952E0,-1.623875052E-1
3.423753445E0,-6.393749714E-1,-1.503425002E0,1.113750041E-2
3.443753445E0,-4.525125027E-1,-1.563237548E0,1.344749928E-1
3.463753445E0,-3.180375099E-1,-1.664712548E0,1.577125043E-1
3.483753445E0,-2.729375064E-1,-1.777050018E0,9.418749809E-2
3.503753445E0,-4.427500069E-1,-1.844287515E0,-7.315000147E-2
