"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.596410319E0,6.229050159E0,-6.349500418E-1,6.600000381E0
1.615508775E0,6.444000244E0,-6.640500426E-1,6.745950222E0
1.634607267E0,6.592950344E0,-7.500000596E-1,7.309050560E0
1.653705981E0,6.993000507E0,-8.359500170E-1,8.005949974E0
1.672804435E0,7.182000160E0,-6.799500585E-1,8.674050331E0
1.691902911E0,7.384950161E0,-6.300000548E-1,8.745000839E0
1.711001477E0,7.354050159E0,-5.100000501E-1,8.472000122E0
1.730099925E0,7.249050140E0,-3.720000088E-1,8.194950104E0
1.749198402E0,7.210950375E0,-3.690000176E-1,8.119950294E0
1.768296830E0,7.074000359E0,-3.829500079E-1,8.250000000E0
1.787395510E0,7.183950424E0,-4.789500237E-1,8.329050064E0
1.806493974E0,7.321050167E0,-3.760500252E-1,8.251950264E0
1.825592450E0,7.435950279E0,-3.160500228E-1,8.353050232E0
1.844690987E0,7.336950302E0,-3.139500022E-1,8.347949982E0
1.863789391E0,7.227000237E0,-3.280500174E-1,8.368950844E0
1.882887853E0,7.291950226E0,-3.570000231E-1,8.548950195E0
1.901986524E0,7.411950588E0,-3.550500274E-1,8.800050735E0
1.921084949E0,7.467000484E0,-4.219500124E-1,8.980050087E0
1.940183434E0,7.333050251E0,-4.890000224E-1,8.946000099E0
1.959281971E0,7.405050278E0,-4.030500054E-1,9.006000519E0
1.978380429E0,7.479000568E0,-4.099500179E-1,9.162000656E0
1.997478881E0,7.237050533E0,-4.740000367E-1,9.222000122E0
2.016577552E0,7.108050346E0,-5.440500379E-1,9.298050880E0
2.035675997E0,7.225050449E0,-5.700000525E-1,9.447000504E0
2.054774449E0,6.871050358E0,-3.880500197E-1,9.591000557E0
2.073872945E0,6.661950111E0,-5.610000491E-1,9.720000267E0
2.092971515E0,6.484950542E0,-6.349500418E-1,1.004805088E1
2.112069978E0,6.187950134E0,-6.520500183E-1,1.043100071E1
2.131168464E0,5.677950382E0,-6.109500527E-1,1.077795029E1
2.150267202E0,5.656950474E0,-5.410500169E-1,1.126905060E1
2.169365633E0,6.088050365E0,-7.639500499E-1,1.169805050E1
2.188464089E0,5.452950478E0,-5.800500512E-1,1.218600082E1
2.207562621E0,5.676000118E0,-7.909500599E-1,1.240905094E1
2.226661118E0,4.711050034E0,-3.450000286E-1,1.229805088E1
2.245759575E0,4.275000095E0,-5.100000501E-1,1.274895096E1
2.264858070E0,4.357050419E0,-6.250500083E-1,1.318200016E1
2.283956770E0,4.048050404E0,-5.560500026E-1,1.281105042E1
2.303055209E0,3.802950144E0,-4.189500213E-1,1.184400082E1
2.322153750E0,2.980050087E0,9.900000691E-2,1.111095047E1
2.341252218E0,2.427000046E0,-1.300500035E-1,1.157505035E1
2.360350665E0,1.222050071E0,-1.200000048E-1,1.238505077E1
2.379449098E0,1.840050101E0,-2.350500077E-1,1.167405033E1
2.398547802E0,2.245050192E0,6.019500494E-1,1.012200069E1
2.417646271E0,1.701000094E0,9.300000668E-1,9.094950676E0
2.436744747E0,9.880500436E-1,1.014000058E0,8.692950249E0
2.455843209E0,5.929500461E-1,1.216950059E0,8.728950500E0
2.474941773E0,9.400500655E-1,1.378050089E0,8.893950462E0
2.494040223E0,9.705000371E-2,1.405950069E0,8.515950203E0
2.513138690E0,-2.659500241E-1,1.672050118E0,7.816050529E0
2.532237389E0,-1.050000042E-1,2.149049997E0,6.982950211E0
2.551335845E0,-6.460500360E-1,2.505000114E0,7.057050228E0
2.570434286E0,-1.402950048E0,2.515050173E0,7.723050594E0
2.589532823E0,-2.076000214E0,2.347050190E0,7.606050491E0
2.608631319E0,-2.650950193E0,2.890950203E0,7.182000160E0
2.627729805E0,-2.931000233E0,2.946000099E0,7.060050488E0
2.646828485E0,-3.235050201E0,2.865000248E0,7.249050140E0
2.665926949E0,-3.984000206E0,2.742000103E0,7.483950138E0
2.685025400E0,-4.173000336E0,2.946000099E0,7.033050537E0
2.704123923E0,-3.868950129E0,3.489000082E0,5.962950230E0
2.723222386E0,-3.862050295E0,3.949050188E0,5.356950283E0
2.742320848E0,-3.931050301E0,3.940050125E0,5.797950268E0
2.761419300E0,-5.401950359E0,4.098000050E0,5.986950397E0
2.780517985E0,-5.607000351E0,3.802950144E0,6.018000126E0
2.799616463E0,-5.926050186E0,3.990000248E0,6.106950283E0
2.818715000E0,-5.955000401E0,4.131000042E0,6.064050198E0
2.837813449E0,-5.935050488E0,4.006950378E0,6.070950508E0
2.856911901E0,-6.757050514E0,4.075950146E0,6.127950191E0
2.876010358E0,-6.448050499E0,4.078050137E0,5.593950272E0
2.895109029E0,-6.381000519E0,4.489950180E0,4.519050121E0
2.914207521E0,-6.208050251E0,4.572000027E0,4.009050369E0
2.933305968E0,-6.844950199E0,4.842000008E0,3.811050177E0
2.952404425E0,-6.570000172E0,4.608000278E0,4.278000355E0
2.971502971E0,-6.807000160E0,4.641000271E0,4.503000259E0
2.990601659E0,-6.690000534E0,4.770000458E0,3.669000149E0
3.009700122E0,-6.634950161E0,5.083950043E0,2.259000063E0
3.028798569E0,-6.364050388E0,5.188950062E0,1.411950111E0
3.047897040E0,-6.417000294E0,5.130000114E0,1.000050068E0
3.066995582E0,-7.020000458E0,5.034000397E0,1.014000058E0
3.086094055E0,-7.237950325E0,4.483050346E0,1.708950043E0
3.105192526E0,-7.221000195E0,4.344000340E0,2.266050100E0
3.124291016E0,-7.291050434E0,4.363049984E0,1.981050134E0
3.143389682E0,-7.329000473E0,4.320000172E0,1.573950052E0
3.162488151E0,-7.444050312E0,4.324950218E0,1.321050048E0
3.181586677E0,-7.468050480E0,4.318050385E0,9.040500522E-1
3.200685137E0,-7.570950508E0,4.251000404E0,5.740500093E-1
3.219783851E0,-7.615950584E0,4.246050358E0,2.220000178E-1
3.238882291E0,-7.638000488E0,4.320000172E0,-1.170000061E-1
3.257980767E0,-7.366950512E0,4.636050224E0,-5.080500245E-1
3.277079243E0,-6.627000332E0,5.071950436E0,-1.432050109E0
3.296177755E0,-5.892000198E0,5.704050064E0,-2.491950035E0
3.315276219E0,-5.236050129E0,6.037050247E0,-3.259050131E0
3.334374899E0,-4.959000111E0,6.130050182E0,-3.565050125E0
3.353473354E0,-4.983000278E0,6.013050079E0,-3.337950230E0
3.372571848E0,-5.344050407E0,5.367000103E0,-2.047049999E0
3.391670291E0,-6.192000389E0,4.624050140E0,-1.170000061E-1
3.410768852E0,-6.357000351E0,4.165050030E0,1.098000050E0
3.429867315E0,-6.034050465E0,3.934950113E0,1.744050026E0
3.448965976E0,-5.518950462E0,3.991950274E0,1.996050119E0
3.468064444E0,-5.008950233E0,4.252950191E0,1.797000051E0
3.487162916E0,-4.543950081E0,4.323000431E0,1.771050096E0
3.506261338E0,-4.105950356E0,4.279950142E0,1.962000132E0
3.525359885E0,-4.200000286E0,4.180950165E0,2.584950209E0
3.544458343E0,-4.137000084E0,3.934950113E0,3.415950060E0
3.563556986E0,-3.912000179E0,3.693000078E0,4.135950089E0
3.582655449E0,-4.318950176E0,3.513000250E0,5.757000446E0
3.601753981E0,-4.183050156E0,3.172950268E0,7.191000462E0
3.620852463E0,-4.461000443E0,3.006000042E0,6.397050381E0
3.639950906E0,-4.765050411E0,2.628000021E0,6.792000294E0
3.659049387E0,-4.848000050E0,2.046000004E0,8.784000397E0
3.678148054E0,-4.389000416E0,2.011950016E0,9.421050072E0
3.697246531E0,-4.135050297E0,2.287950039E0,8.854949951E0
3.716345049E0,-4.236000061E0,2.142000198E0,9.315000534E0
3.735443508E0,-3.634950161E0,2.232000113E0,1.016295052E1
3.754541979E0,-2.908950090E0,2.556000233E0,9.523050308E0
3.773640674E0,-2.569050074E0,2.617950201E0,9.540000916E0
3.792739142E0,-3.007050037E0,2.272950172E0,1.059900093E1
3.811837604E0,-3.124950171E0,2.014950037E0,1.120200062E1
3.830936130E0,-1.920000076E0,2.335050106E0,1.003605080E1
3.850034604E0,-1.104000092E0,2.617950201E0,8.764950752E0
3.869133065E0,-1.558950067E0,2.095950127E0,1.046895027E1
3.888231742E0,-2.481000185E0,1.030950069E0,1.307700062E1
3.907330223E0,-2.710050106E0,1.099950075E0,1.240395069E1
3.926428750E0,-2.119050026E0,1.732050061E0,8.476950645E0
3.945527223E0,-7.590000629E-1,2.164950132E0,7.165050507E0
3.964625685E0,-6.495000422E-2,1.651050091E0,1.021500015E1
3.983724147E0,-7.230000496E-1,9.640500546E-1,1.309095097E1
4.002822856E0,-1.255050063E0,1.035000086E0,1.238205051E1
4.021921362E0,-7.695000619E-2,1.708050132E0,9.646050453E0
4.041019899E0,1.303950071E0,2.272950172E0,8.629950523E0
4.060118382E0,1.510050058E0,1.822950125E0,1.066305065E1
4.079217082E0,6.979500055E-1,1.162050009E0,1.272900105E1
4.098315550E0,4.660500288E-1,1.014000058E0,1.219995022E1
4.117414021E0,9.660000205E-1,1.264950037E0,9.693000793E0
4.136512568E0,1.486050129E0,1.581000090E0,9.175950050E0
4.155611051E0,1.917000055E0,1.135950089E0,1.104900074E1
4.174709756E0,1.591050029E0,8.389500380E-1,1.177200031E1
4.193808233E0,1.687050104E0,8.680500388E-1,1.035705090E1
4.212906676E0,2.410050154E0,1.165050030E0,8.282999992E0
4.232005173E0,3.303000212E0,1.336950064E0,7.780050278E0
4.251103871E0,4.093050003E0,1.063950062E0,9.097050667E0
4.270202089E0,3.805950165E0,7.050000429E-1,1.063200092E1
4.289300761E0,3.294000149E0,3.979500234E-1,1.157100010E1
4.308399190E0,3.562050104E0,4.129500091E-1,1.124295044E1
4.327497688E0,4.111950397E0,5.730000138E-1,9.670050621E0
4.346596171E0,4.492950439E0,6.690000296E-1,8.494050026E0
4.365694617E0,4.699050426E0,5.179499984E-1,9.001950264E0
4.384793322E0,4.596000195E0,2.380500138E-1,9.990000725E0
4.403891786E0,4.929000378E0,3.070500195E-1,9.933000565E0
4.422990312E0,5.649000168E0,4.420500100E-1,8.935050011E0
4.442088781E0,5.692950249E0,3.409500122E-1,8.520000458E0
4.461187471E0,5.451000214E0,2.239500135E-1,9.466050148E0
4.480285896E0,5.475000381E0,-1.200000010E-2,9.898950577E0
